PNO,EQUIPMENT_ID,LOT_NO,TIMESTAMP,BEAM_CURRENT,BEAM_ENERGY,DOSE_RATE,TOTAL_DOSE,IMPLANT_ANGLE,WAFER_ROTATION,SOURCE_PRESSURE,ANALYZER_PRESSURE,END_STATION_PRESSURE,BEAM_UNIFORMITY,FARADAY_CUP_CURRENT
ION001,ION_001,LOT24002B,2024-01-16 10:00:15,1250.8,15000,2.5E+12,2.15E+15,7,800,2.5E-05,1.2E-06,3.8E-07,98.5,1245.2
ION002,ION_001,LOT24002B,2024-01-16 10:30:30,1248.5,15000,2.4E+12,2.12E+15,7,800,2.6E-05,1.3E-06,3.9E-07,98.3,1242.8
ION003,ION_001,LOT24002B,2024-01-16 11:00:45,1252.1,15000,2.6E+12,2.18E+15,7,800,2.4E-05,1.1E-06,3.7E-07,98.7,1247.5
ION004,ION_001,LOT24002B,2024-01-16 11:31:00,1249.7,15000,2.5E+12,2.10E+15,7,800,2.5E-05,1.2E-06,3.8E-07,98.4,1244.1
ION005,ION_002,LOT24005A,2024-01-19 09:00:25,850.2,35000,1.8E+12,1.95E+14,0,1200,1.8E-05,8.5E-07,2.1E-07,99.1,848.5
ION006,ION_002,LOT24005A,2024-01-19 10:15:40,852.8,35000,1.9E+12,2.03E+14,0,1200,1.7E-05,8.7E-07,2.2E-07,99.0,851.2
ION007,ION_002,LOT24005A,2024-01-19 11:30:55,848.5,35000,1.7E+12,1.92E+14,0,1200,1.9E-05,8.3E-07,2.0E-07,99.3,847.1
ION008,ION_002,LOT24005A,2024-01-19 12:46:10,851.4,35000,1.8E+12,2.00E+14,0,1200,1.8E-05,8.6E-07,2.1E-07,99.2,849.8
ION009,ION_003,LOT24007B,2024-01-21 15:30:20,2850.5,80000,5.2E+12,5.12E+15,22,600,3.8E-05,2.1E-06,8.5E-07,98.2,2845.8
ION010,ION_003,LOT24007B,2024-01-21 17:15:35,2848.2,80000,5.1E+12,5.08E+15,22,600,3.9E-05,2.2E-06,8.7E-07,98.0,2842.5
ION011,ION_003,LOT24007B,2024-01-21 19:00:50,2852.8,80000,5.3E+12,5.15E+15,22,600,3.7E-05,2.0E-06,8.3E-07,98.4,2848.1
ION012,ION_003,LOT24007B,2024-01-21 20:46:05,2849.1,80000,5.2E+12,4.98E+15,22,600,3.8E-05,2.1E-06,8.4E-07,98.3,2844.7
ION013,ION_001,LOT24010A,2024-01-24 09:30:25,650.8,5000,1.2E+12,8.95E+13,7,900,1.5E-05,6.2E-07,1.8E-07,99.5,648.2
ION014,ION_001,LOT24010A,2024-01-24 10:15:40,652.1,5000,1.3E+12,9.12E+13,7,900,1.4E-05,6.4E-07,1.9E-07,99.4,649.8
ION015,ION_001,LOT24010A,2024-01-24 11:00:55,648.5,5000,1.1E+12,8.85E+13,7,900,1.6E-05,6.0E-07,1.7E-07,99.6,646.1
ION016,ION_002,LOT24012B,2024-01-26 15:00:20,1950.5,50000,3.8E+12,3.85E+15,15,700,2.8E-05,1.5E-06,4.2E-07,98.8,1945.8
ION017,ION_002,LOT24012B,2024-01-26 17:30:35,1948.2,50000,3.7E+12,3.82E+15,15,700,2.9E-05,1.6E-06,4.3E-07,98.6,1942.5
ION018,ION_002,LOT24012B,2024-01-26 20:00:50,1952.8,50000,3.9E+12,3.88E+15,15,700,2.7E-05,1.4E-06,4.1E-07,99.0,1948.1
ION019,ION_003,LOT24015A,2024-01-29 10:00:25,3250.8,120000,6.8E+12,6.85E+15,30,500,4.5E-05,2.8E-06,1.2E-06,97.8,3245.2
ION020,ION_003,LOT24015A,2024-01-29 12:45:40,3248.5,120000,6.7E+12,6.82E+15,30,500,4.6E-05,2.9E-06,1.3E-06,97.6,3242.8
ION021,ION_003,LOT24015A,2024-01-29 15:30:55,3252.1,120000,6.9E+12,6.88E+15,30,500,4.4E-05,2.7E-06,1.1E-06,98.0,3247.5
ION022,ION_001,LOT24017B,2024-01-31 16:00:20,850.2,8000,1.5E+12,1.25E+14,7,850,1.8E-05,7.2E-07,2.5E-07,99.2,847.8
ION023,ION_001,LOT24017B,2024-01-31 17:30:35,852.8,8000,1.6E+12,1.28E+14,7,850,1.7E-05,7.4E-07,2.6E-07,99.1,850.5
ION024,ION_001,LOT24017B,2024-01-31 19:00:50,848.5,8000,1.4E+12,1.22E+14,7,850,1.9E-05,7.0E-07,2.4E-07,99.4,845.2
ION025,ION_002,LOT24020A,2024-02-03 09:00:25,1850.5,45000,3.5E+12,3.58E+15,12,750,2.5E-05,1.3E-06,3.8E-07,98.9,1845.8
ION026,ION_002,LOT24020A,2024-02-03 11:45:40,1848.2,45000,3.4E+12,3.55E+15,12,750,2.6E-05,1.4E-06,3.9E-07,98.7,1842.5
ION027,ION_002,LOT24020A,2024-02-03 14:30:55,1852.8,45000,3.6E+12,3.61E+15,12,750,2.4E-05,1.2E-06,3.7E-07,99.1,1848.1
