PNO,EQUIPMENT_ID,LOT_NO,TIMESTAMP,HEAD_PRESSURE,RETAINER_PRESSURE,PLATEN_ROTATION,HEAD_ROTATION,SLURRY_FLOW_RATE,SLURRY_TEMP,PAD_TEMP,REMOVAL_RATE,MOTOR_CURRENT,CONDITIONER_PRESSURE,ENDPOINT_SIGNAL
TS00000001,CMP_001,LOT250001A,2024.1.1 0:00,4.807450712,3.388553155,73.85918642,77.8985738,220.2444217,22.99282884,43.86202228,27961.32548,16.59717589,6.960811992,-3991.715903
TS00000002,CMP_001,LOT250001A,2024.1.1 0:00,4.835526006,3.392375358,79.31859686,79.83433701,131.4412914,22.99812048,31.0256622,2675.75103,16.547097,7.105255877,-1215.745471
TS00000003,CMP_001,LOT250001A,2024.1.1 0:01,4.884322294,3.38772967,76.8327305,76.04991344,180.6880166,23.00222811,49.09917029,-225.9326028,17.75735659,7.132834535,185.7730972
TS00000004,CMP_001,LOT250001A,2024.1.1 0:02,4.933282814,3.389527431,81.39385496,60.25036426,191.7876012,23.04512406,34.11746441,-2299.974348,17.90066125,7.138431911,2391.984381
TS00000005,CMP_001,LOT250001A,2024.1.1 0:03,4.941013802,3.365142718,85.34539576,71.44350832,195.7454663,22.95869649,50.59234029,6710.021107,16.06070451,7.191279143,5010.117648
TS00000006,CMP_001,LOT250001A,2024.1.1 0:03,4.972823521,3.333408467,96.46171481,64.73152371,202.5501366,22.95152682,38.70018139,6833.382942,16.0128169,7.226575349,4013.30953
TS00000007,CMP_001,LOT250001A,2024.1.1 0:04,5.029052324,3.320473268,85.46965514,70.45794646,216.8856004,23.05297461,21.72376715,12493.18815,16.8610842,7.29226386,-1615.077533
TS00000008,CMP_001,LOT250001A,2024.1.1 0:05,5.042665494,3.281514276,73.40153585,77.59326721,198.4665242,22.96482614,30.9681485,-6256.518995,16.228093,7.266478444,798.6056125
TS00000009,CMP_001,LOT250001A,2024.1.1 0:06,5.046256262,3.268299545,101.2182152,72.78471437,188.9286525,22.92113981,37.96601283,-106.0831963,16.02389085,7.38539879,2132.709446
TS00000010,CMP_001,LOT250001A,2024.1.1 0:06,5.079586516,3.228460145,81.98736661,77.63827647,187.6540402,22.95589035,59.91519442,23336.42264,15.85082971,7.392733827,1105.956556
TS00000011,CMP_001,LOT250001A,2024.1.1 0:07,5.078365689,3.199438183,90.29064825,71.88950711,180.9203737,22.95902562,54.66775296,5286.117636,14.8555607,7.39135568,1073.016022
TS00000012,CMP_001,LOT250001A,2024.1.1 0:08,5.087700229,3.176667887,95.83960497,60.76304531,221.7708999,23.04818852,63.68773399,1321.213717,14.88511302,7.405982112,-3299.491843
TS00000013,CMP_001,LOT250001A,2024.1.1 0:09,5.103037453,3.13047362,93.84157524,52.27281349,177.1618443,23.01112955,64.38177419,-6366.57231,14.5332813,7.494470073,-1601.923401
TS00000014,CMP_001,LOT250001A,2024.1.1 0:09,5.070708815,3.100819191,103.2314817,68.66227944,219.9644931,23.01625334,38.44643273,8108.948404,13.57692404,7.462916069,634.9014006
TS00000015,CMP_001,LOT250001A,2024.1.1 0:10,5.068812408,3.078941354,97.49516386,65.62038971,192.7962776,22.99341221,42.91460538,13356.63962,14.01348406,7.449346926,-7448.415156
TS00000016,CMP_001,LOT250001A,2024.1.1 0:11,5.076882642,3.064808917,84.47707415,59.99902299,173.9976107,22.99281545,40.54101776,11786.08776,14.32841286,7.474615682,3741.031261
TS00000017,CMP_001,LOT250001A,2024.1.1 0:12,5.056255649,3.029080525,115.228901,54.61830976,205.432215,22.90374923,37.70434494,442.9567744,13.18148607,7.537473597,-2310.615228
TS00000018,CMP_001,LOT250001A,2024.1.1 0:12,5.058012088,3.004805762,95.70640143,60.04635736,162.2345245,22.92044091,23.93607453,6631.388419,13.3095285,7.41922562,3856.93172
TS00000019,CMP_001,LOT250001A,2024.1.1 0:13,5.017533612,3.007081744,92.57486826,62.75258863,200.4151729,22.8726682,46.11333484,19720.69702,13.22191232,7.478286905,3583.005614
TS00000020,CMP_001,LOT250001A,2024.1.1 0:14,4.984179576,3.005772777,103.9370191,67.51647214,184.9950943,22.90301589,31.10392688,13695.73234,12.85382459,7.541487514,146.0240079
TS00000021,CMP_001,LOT250001A,2024.1.1 0:15,4.998320307,3.00720157,97.00507462,63.73510297,158.2934805,22.93871375,46.34456083,-4874.070371,13.40614074,7.46711742,4770.743278
TS00000022,CMP_001,LOT250001A,2024.1.1 0:15,4.941139458,2.999683364,98.67811354,72.11444726,189.924515,22.90180667,72.35071975,-22513.69991,12.61658394,7.472518149,3991.961367
TS00000023,CMP_001,LOT250001A,2024.1.1 0:16,4.911450289,3.007320137,119.7447125,54.51810465,188.7327729,22.95083066,41.03859024,5891.349981,13.89747428,7.492491788,830.1379389
TS00000024,CMP_001,LOT250001A,2024.1.1 0:17,4.853235743,3.0287221,92.16993273,66.14210989,205.7789409,22.81798475,49.65921745,10885.41924,13.59371029,7.45815677,487.8628383
TS00000025,CMP_001,LOT250001A,2024.1.1 0:18,4.829434229,3.026978151,91.80265834,60.20332004,199.2501016,22.88949623,58.35441217,-8017.178272,12.81990485,7.363253683,5042.486887
TS00000026,CMP_001,LOT250001A,2024.1.1 0:18,4.801663839,3.056247519,96.16578512,63.78902814,184.7382206,22.79113825,50.97194763,2762.104779,14.60459225,7.347033713,2446.041518
TS00000027,CMP_001,LOT250001A,2024.1.1 0:19,4.745135126,3.083585493,105.6954266,56.04219893,136.4379627,22.84698238,51.23286337,187.9426946,13.92529037,7.36395019,4884.880035
TS00000028,CMP_001,LOT250001A,2024.1.1 0:20,4.731028504,3.111897212,79.85580671,65.2421098,244.5109624,22.8676726,43.46931578,3843.125245,13.65825049,7.328015163,-5413.780539
TS00000029,CMP_001,LOT250001A,2024.1.1 0:21,4.680553054,3.135137761,75.16731359,59.87898501,130.2265948,22.80798687,45.11095185,-2670.587782,15.04469873,7.236474331,2052.477642
TS00000030,CMP_001,LOT250001A,2024.1.1 0:21,4.651098492,3.168919753,88.81467891,53.30951509,202.5433658,22.83400986,36.42876422,15658.75924,14.98393398,7.195896663,-2969.857929
TS00000031,CMP_001,LOT250001A,2024.1.1 0:22,4.614638825,3.185070036,78.17133557,57.31459408,189.1217357,22.74590601,58.13675393,4212.131756,13.93682418,7.167892682,1691.732778
TS00000032,CMP_001,LOT250001A,2024.1.1 0:23,4.622420041,3.227337403,90.04945138,55.65950841,143.3890395,22.69785719,27.10146847,-6077.078283,14.99747274,7.177416655,3918.563762
TS00000033,CMP_001,LOT250001A,2024.1.1 0:24,4.568643569,3.264524451,99.07326749,60.19382383,177.5406235,22.79576488,59.64737584,11870.51889,15.78549239,7.116044923,7003.678038
TS00000034,CMP_001,LOT250001A,2024.1.1 0:24,4.530835958,3.284904336,84.85557816,49.45337632,181.6955556,22.84172122,31.12468826,-9960.741545,14.61224099,7.050374715,-1018.082865
TS00000035,CMP_001,LOT250001A,2024.1.1 0:25,4.540890058,3.317910956,79.17501349,56.82793528,226.04748,22.69107459,59.47497869,15513.97836,16.22661256,6.914671276,230.3076549
TS00000036,CMP_001,LOT250001A,2024.1.1 0:26,4.49637039,3.344102591,93.78354156,59.62845969,168.2359279,22.78810496,43.61248769,12570.38294,16.50900119,6.908041097,1532.499579
TS00000037,CMP_001,LOT250001A,2024.1.1 0:27,4.508446779,3.359748104,101.3305673,57.46268388,184.3679549,22.71506082,32.99062961,16551.2955,15.90793886,6.864540723,-1092.331436
TS00000038,CMP_001,LOT250001A,2024.1.1 0:27,4.47119693,3.379224087,75.33995189,66.09337781,124.4792717,22.63178937,54.61975805,1067.93093,16.94439998,6.901555292,4779.400134
TS00000039,CMP_001,LOT250001A,2024.1.1 0:28,4.480669191,3.384434908,100.047795,62.71512933,248.6005824,22.62748701,58.68913471,-2310.745144,16.90659134,6.775167135,1645.995416
TS00000040,CMP_001,LOT250001A,2024.1.1 0:29,4.508266743,3.396298,99.54730193,58.06618668,166.0305529,22.6701582,42.14367388,3493.760159,16.26060022,6.808151433,2234.609202
TS00000041,CMP_001,LOT250001A,2024.1.1 0:30,4.525760044,3.403661297,100.4187035,59.91467427,209.0731737,22.63428538,55.885943,1815.420833,17.55173633,6.67757244,3741.42108
TS00000042,CMP_001,LOT250001A,2024.1.1 0:30,4.531122408,3.398479506,102.5430701,60.89137097,196.8394856,22.5738499,19.63731588,-3858.328266,17.47808896,6.644799869,1677.44338
TS00000043,CMP_001,LOT250001A,2024.1.1 0:31,4.544966898,3.386692116,111.837676,62.10474062,197.0303719,22.53964298,31.01305777,-2855.098726,16.72827078,6.659588392,-549.034705
TS00000044,CMP_001,LOT250001A,2024.1.1 0:32,4.564329472,3.379546603,85.69687243,48.4125324,223.824607,22.56673565,62.15367436,-967.8311212,16.66286425,6.683329829,1724.681684
TS00000045,CMP_001,LOT250001A,2024.1.1 0:33,4.572458038,3.366091058,89.77696133,58.78361735,248.7102796,22.60338111,43.72850459,-8986.946286,17.05379235,6.567247181,-645.6472158
TS00000046,CMP_001,LOT250001A,2024.1.1 0:33,4.612866761,3.329121709,83.92578561,51.86766597,204.680065,22.57789719,23.81754602,9512.075846,16.29381568,6.426358345,2254.844367
TS00000047,CMP_001,LOT250001A,2024.1.1 0:34,4.648564316,3.324511495,87.50666732,70.23600164,214.9205471,22.53760472,37.51371077,2230.677889,15.01702558,6.456902587,4928.44383
TS00000048,CMP_001,LOT250001A,2024.1.1 0:35,4.705419468,3.288780572,102.2025467,62.37863422,202.904148,22.55714852,34.54039409,-307.4096029,16.20014293,6.534751235,-1581.957228
TS00000049,CMP_001,LOT250001A,2024.1.1 0:36,4.730547308,3.264356338,72.8031875,62.26356741,221.047811,22.5833966,43.33655416,-8303.279587,15.1300784,6.435116573,-2650.254688
TS00000050,CMP_001,LOT250001A,2024.1.1 0:36,4.735954428,3.238470375,77.01740847,69.98663642,173.9232283,22.53541171,40.57251908,-8778.796423,15.0789631,6.458940876,2096.961278
TS00000051,CMP_001,LOT250001A,2024.1.1 0:37,4.80486126,3.191769958,98.77180937,67.7028787,217.2617166,22.49393457,46.84946277,22209.14051,15.87472234,6.500617098,-353.3988502
TS00000052,CMP_001,LOT250001A,2024.1.1 0:38,4.831823736,3.164456461,94.57245987,58.52960561,215.5042763,22.53069822,43.53756215,-3397.507982,14.60674399,6.379750655,2044.447293
TS00000053,CMP_001,LOT250001A,2024.1.1 0:39,4.864453136,3.136465309,80.1153512,66.0452562,211.954242,22.42061223,60.34585667,9005.02192,14.38300697,6.489870085,2908.068878
TS00000054,CMP_001,LOT250001A,2024.1.1 0:39,4.91961251,3.104499379,91.67020687,65.08686022,157.1581621,22.44169987,48.77122208,4549.96961,14.39781937,6.461612729,-4488.081038
TS00000055,CMP_001,LOT250001A,2024.1.1 0:40,4.959991095,3.092852569,85.92525955,56.77998593,169.6816644,22.42727899,48.80706398,-24805.53388,14.12762986,6.460152771,4007.178951
TS00000056,CMP_001,LOT250001A,2024.1.1 0:41,4.990304777,3.053438011,96.91257615,64.21415611,180.0487547,22.3599351,56.92688191,20892.06528,13.03426778,6.514387516,-1578.103809
TS00000057,CMP_001,LOT250001A,2024.1.1 0:42,4.992775869,3.03486332,82.06385041,68.1119563,130.3023329,22.38531563,37.90232387,9827.749209,13.3457869,6.524375591,1855.853011
TS00000058,CMP_001,LOT250001A,2024.1.1 0:42,5.026515787,3.023025029,90.99852822,69.16757047,218.3188588,22.2871804,27.04108616,-4672.598894,13.23967847,6.628396505,-64.40460734
TS00000059,CMP_001,LOT250001A,2024.1.1 0:43,5.058267329,3.0025758,106.6025824,60.99009574,169.6613031,22.47126396,56.27780998,2735.200541,13.26110311,6.695342026,247.7116351
TS00000060,CMP_001,LOT250001A,2024.1.1 0:44,5.086081293,3.000088248,85.6227236,78.37154829,178.6361161,22.31363376,43.03028545,-8460.868264,13.19815648,6.651122725,6974.451748
TS00000061,CMP_001,LOT250001A,2024.1.1 0:45,5.078129341,3.00190472,79.61542914,70.81867638,153.4240191,22.42479721,42.67488036,21302.41609,14.55246474,6.676301085,2838.704262
TS00000062,CMP_001,LOT250001A,2024.1.1 0:45,5.091901291,3.000465169,85.85022995,72.12627591,132.049073,22.33253527,33.00265539,-6030.119632,12.31910746,6.724769042,4582.80334
TS00000063,CMP_001,LOT250001A,2024.1.1 0:46,5.082812994,3.009228376,74.50172036,74.80272291,155.3214048,22.34418093,32.79877677,-2181.234621,13.68594194,6.731700999,2309.103115
TS00000064,CMP_001,LOT250001A,2024.1.1 0:47,5.081464919,3.018622702,101.5899908,67.48335813,182.0147658,22.27698606,49.9596273,-4246.005436,13.92801244,6.766193945,3703.761672
TS00000065,CMP_001,LOT250001A,2024.1.1 0:48,5.106874063,3.029109779,79.09557795,75.66934352,197.9765593,22.29750684,51.21325513,3850.251452,13.6776364,6.793377334,3083.396955
TS00000066,CMP_001,LOT250001A,2024.1.1 0:48,5.105660555,3.060508203,74.18049685,70.55222899,185.2184913,22.30552923,48.403215,16743.3763,13.1955972,6.85530672,2582.466735
TS00000067,CMP_001,LOT250001A,2024.1.1 0:49,5.070367964,3.092972548,68.19983069,67.24606637,193.521722,22.29235078,48.11535479,20924.7099,14.82323031,7.050204291,5128.889798
TS00000068,CMP_001,LOT250001A,2024.1.1 0:50,5.068351371,3.10931231,87.20913512,76.66611644,175.8310666,22.28421796,45.03418836,-971.0958571,12.77682928,6.981184328,2265.933682
TS00000069,CMP_001,LOT250001A,2024.1.1 0:51,5.036578513,3.139548186,84.6236036,82.48363031,203.6178053,22.21366997,39.39465728,6786.692472,13.97200599,6.915585193,8641.703318
TS00000070,CMP_001,LOT250001A,2024.1.1 0:51,4.995687335,3.172869444,70.72869143,77.44624209,235.8716754,22.19494033,35.32789491,3805.963547,15.39014039,7.079718774,4658.697856
TS00000071,CMP_001,LOT250001A,2024.1.1 0:52,4.98175651,3.192384017,81.25394829,78.51550855,214.9604621,22.12639856,51.57888978,-6848.535594,14.77793304,7.07498777,-1649.523793
TS00000072,CMP_001,LOT250001A,2024.1.1 0:53,4.967596651,3.241501981,60.22860871,69.01000112,220.2207861,22.21970742,32.20034491,27171.90648,16.27074764,7.201548192,1232.720205
TS00000073,CMP_001,LOT250001A,2024.1.1 0:54,4.909899975,3.263017372,77.02683324,61.78568717,206.4854109,22.23540694,40.76311168,16551.22053,14.71095114,7.238459154,2948.25515
TS00000074,CMP_001,LOT250001A,2024.1.1 0:54,4.898076621,3.300589241,79.60641651,81.15352474,153.8519952,22.25014315,26.32285841,4790.896475,15.24071986,7.283835971,1886.632191
TS00000075,CMP_001,LOT250001A,2024.1.1 0:55,4.798303794,3.313158852,92.09303081,84.31300123,168.3943128,22.17298508,27.71725678,18693.82758,15.8565876,7.316675691,3811.408787
TS00000076,CMP_001,LOT250001A,2024.1.1 0:56,4.812328538,3.352329728,67.29181197,80.5308176,213.646274,22.10812262,32.46386317,14971.06713,16.66465313,7.334917875,4141.050115
TS00000077,CMP_001,LOT250001A,2024.1.1 0:57,4.763705736,3.366454332,62.23620643,67.95036191,199.4061372,22.05066088,25.33120859,3643.546764,16.4848219,7.312461815,-2327.972428
TS00000078,CMP_001,LOT250001A,2024.1.1 0:57,4.720907924,3.381519545,66.12457338,62.10700725,212.1419339,22.1770278,44.24612697,6059.898076,16.4877735,7.409807584,5596.374318
TS00000079,CMP_001,LOT250001A,2024.1.1 0:58,4.690939046,3.39161545,61.81144249,62.03366013,247.9576214,22.02492955,18.20238922,17897.63651,17.75435089,7.489099569,266.569955
TS00000080,CMP_001,LOT250001A,2024.1.1 0:59,4.625660364,3.396046496,88.68074197,57.40129469,217.7156094,22.08789229,35.29065054,-6707.886546,17.88344367,7.549560967,-25.3441856
TS00000081,CMP_001,LOT250001A,2024.1.1 1:00,4.620369346,3.40720319,90.97582779,66.7849128,231.583365,22.08427616,35.42599122,19469.34992,16.75137214,7.463628692,-28.26887755
TS00000082,CMP_001,LOT250001A,2024.1.1 1:00,4.599992557,3.398379827,78.90440092,77.02148486,194.2271311,22.08298696,11.85786918,461.964972,15.949516,7.481477884,4202.832355
