PNO,EQUIPMENT_ID,LOT_NO,TIMESTAMP,SUSCEPTOR_TEMP,CHAMBER_PRESSURE,PRECURSOR_FLOW_TEOS,PRECURSOR_FLOW_SILANE,PRECURSOR_FLOW_WF6,CARRIER_GAS_N2,CARRIER_GAS_H2,SHOWERHEAD_TEMP,LINER_TEMP,DEPOSITION_RATE,FILM_STRESS
TS00000001,CVD_001,LOT250001A,2024.1.1 0:00,674.1785383,1.771382887,60.73983022,278.886194,11.74814058,14.78486518,3.064367038,360.6679529,114.8587944,-867.5203387,-940.2859838
TS00000002,CVD_001,LOT250001A,2024.1.1 0:00,518.5734507,1.784728635,123.4863536,306.3705843,-17.2254648,14.94509633,2.937836774,208.7788454,114.5278738,3027.280265,-469.6711002
TS00000003,CVD_001,LOT250001A,2024.1.1 0:01,718.1887962,1.784370865,86.92700992,253.9395869,-0.187780615,15.07278642,3.325652591,191.1449969,179.6421765,2262.613422,-228.0633534
TS00000004,CVD_001,LOT250001A,2024.1.1 0:02,940.1265298,1.807248261,138.4753003,33.06850239,4.123304764,16.36715394,3.160918768,178.4314393,193.7431296,650.4319493,147.5339804
TS00000005,CVD_001,LOT250001A,2024.1.1 0:03,503.8961507,1.771240301,182.434325,192.3011815,6.036939107,13.78492352,3.51803556,232.1791233,110.8638746,976.3053425,591.4704259
TS00000006,CVD_001,LOT250001A,2024.1.1 0:03,506.9166105,1.722672875,315.9940733,100.2568281,8.876028373,13.58364906,3.399168205,232.5666186,119.5654219,664.1056648,432.4233107
TS00000007,CVD_001,LOT250001A,2024.1.1 0:04,963.2094315,1.725981133,173.25079,183.6345393,14.19456814,16.64425907,3.19161737,266.1349633,174.7975529,1646.915381,-499.2115495
TS00000008,CVD_001,LOT250001A,2024.1.1 0:05,763.1476469,1.668017637,17.119463,287.3231009,8.555990851,14.02051404,3.416423806,153.2109473,157.3922892,-935.2609179,-91.30580487
TS00000009,CVD_001,LOT250001A,2024.1.1 0:06,456.7190872,1.676988404,359.6221585,223.5383791,5.829982342,12.73436701,3.598464164,189.6549443,162.5191483,2378.592146,135.7406202
TS00000010,CVD_001,LOT250001A,2024.1.1 0:06,712.4313506,1.620666918,114.11651,296.1015567,5.800989959,13.80528886,4.023748874,329.8208484,169.9354408,1349.709605,-31.71914519
TS00000011,CVD_001,LOT250001A,2024.1.1 0:07,463.5348394,1.591300555,212.8853715,220.0283627,3.88484198,13.93197188,3.98924572,221.0015716,136.5948139,104.7890237,-34.64761293
TS00000012,CVD_001,LOT250001A,2024.1.1 0:08,465.4387611,1.576101344,277.335614,68.77210487,17.75231665,16.64398382,4.185514309,196.6684272,154.4604576,-356.8179316,-761.9872453
TS00000013,CVD_001,LOT250001A,2024.1.1 0:09,644.7179232,1.499529702,247.5719786,-44.99251501,3.045280368,15.5741452,4.235554096,149.973586,152.8339711,2288.540935,-478.8142498
TS00000014,CVD_001,LOT250001A,2024.1.1 0:09,108.1283702,1.460206071,360.2944627,191.509073,17.37777633,15.77492224,3.833930608,236.2358663,120.1797814,292.7483157,-106.9195984
TS00000015,CVD_001,LOT250001A,2024.1.1 0:10,157.296204,1.435031616,284.089972,155.1251786,8.280160766,15.14223243,3.930885789,267.1099432,156.0104269,-816.5243231,-1456.161988
TS00000016,CVD_001,LOT250001A,2024.1.1 0:11,449.8789674,1.422870584,117.0285111,82.80437362,1.858519743,15.18272126,3.905432356,257.0546313,184.2665758,-200.0412334,405.6774991
TS00000017,CVD_001,LOT250001A,2024.1.1 0:12,339.0086162,1.349476021,497.27094,14.17016878,12.06192468,12.5753572,3.863724607,188.3450143,137.6409217,2095.831369,-606.9502872
TS00000018,CVD_001,LOT250001A,2024.1.1 0:12,672.3771672,1.296769628,249.2793469,97.79830694,-2.73463425,13.14735779,3.631207618,224.8068521,152.7216777,-2674.689082,416.1185916
TS00000019,CVD_001,LOT250001A,2024.1.1 0:13,368.2353337,1.30200542,206.3853392,143.3730467,9.472010351,11.79246491,3.989165158,302.6567585,154.7736733,-174.5602101,364.908852
TS00000020,CVD_001,LOT250001A,2024.1.1 0:14,243.412899,1.289585524,344.8885969,218.0599453,3.691605862,12.78864161,3.718803643,265.8043916,140.4067108,2668.268477,-214.0247983
TS00000021,CVD_001,LOT250001A,2024.1.1 0:15,963.965018,1.275298828,254.9577811,172.7062875,-5.963246891,13.95320847,3.94422214,153.6667714,169.5728849,182.6647564,550.2741629
TS00000022,CVD_001,LOT250001A,2024.1.1 0:15,541.9850829,1.230160576,272.8473898,298.4368518,3.722003503,12.94794459,4.340908788,47.09424295,129.1267785,1058.002797,413.7769492
TS00000023,CVD_001,LOT250001A,2024.1.1 0:16,615.9964137,1.214895655,533.4306668,58.90234038,2.375727313,14.52936517,3.774437661,216.7740147,189.7136743,2680.56028,-119.9315851
TS00000024,CVD_001,LOT250001A,2024.1.1 0:17,243.4186885,1.226733563,186.2868358,230.2378055,7.035291061,10.66387601,3.866035375,245.9722163,168.6678874,2287.800991,-183.5793326
TS00000025,CVD_001,LOT250001A,2024.1.1 0:18,463.8056553,1.174319464,179.5427193,154.4934458,3.783617601,12.93872908,3.95184292,131.7747681,121.8673429,-379.3290162,569.2271302
TS00000026,CVD_001,LOT250001A,2024.1.1 0:18,627.7306474,1.194172188,232.2499835,212.5202212,-2.158327605,10.1275458,3.76316504,195.6529686,200.9402905,239.2128956,130.6515806
TS00000027,CVD_001,LOT250001A,2024.1.1 0:19,312.1529421,1.205221948,349.8750917,110.9502213,-19.36607946,11.95289315,3.695920827,179.3948862,155.0134448,2310.316333,531.8977345
TS00000028,CVD_001,LOT250001A,2024.1.1 0:20,693.5302397,1.216163332,25.73533067,247.3937388,15.57580464,12.73450043,3.489602891,200.4973215,128.193295,2382.080658,-1189.037363
TS00000029,CVD_001,LOT250001A,2024.1.1 0:21,448.9546901,1.213419954,-33.65064458,178.6769337,-23.54672727,11.11610221,3.435378079,160.5709661,182.8709445,330.9221008,51.68972269
TS00000030,CVD_001,LOT250001A,2024.1.1 0:21,525.5057206,1.237624611,136.5392884,92.56075096,-0.384251663,12.08062024,3.205145786,269.6877876,164.368893,405.2780274,-788.0889605
TS00000031,CVD_001,LOT250001A,2024.1.1 0:22,447.1261728,1.219969991,3.485054977,154.6473276,-5.687161831,9.633350515,3.478225996,200.1339432,96.10705662,1054.46569,-12.89425374
TS00000032,CVD_001,LOT250001A,2024.1.1 0:23,1059.55837,1.271435686,152.3496626,136.5709139,-21.61830713,8.400091375,2.86984491,137.5103076,133.1768378,3260.904517,357.5256871
TS00000033,CVD_001,LOT250001A,2024.1.1 0:24,591.8670464,1.315575434,265.9457929,204.9033319,-10.75357455,11.55820656,3.319550901,244.2939256,156.9453259,2671.389842,872.0172471
TS00000034,CVD_001,LOT250001A,2024.1.1 0:24,329.3876018,1.324517551,89.44166103,57.74528871,-9.697594104,13.17075433,2.750671082,112.3917203,83.35759987,1933.190728,-463.6336904
TS00000035,CVD_001,LOT250001A,2024.1.1 0:25,797.8526243,1.373150976,20.07691491,164.5849681,4.965657214,8.898452205,3.129730935,264.3138568,150.2170214,-1599.916481,-253.3032524
TS00000036,CVD_001,LOT250001A,2024.1.1 0:26,285.2399372,1.413997989,204.7562836,206.3071429,-14.20417681,12.06993551,2.77280203,245.7159392,151.8746361,19.43148747,-33.1217926
TS00000037,CVD_001,LOT250001A,2024.1.1 0:27,640.7415609,1.438647368,301.6006884,177.3506582,-8.497302587,10.15286314,2.504936375,268.6565378,111.0529422,136.6885212,-466.6548133
TS00000038,CVD_001,LOT250001A,2024.1.1 0:27,96.5309004,1.483719801,-20.34012782,299.3409964,-27.90060105,7.9428214,2.777121809,174.8048324,154.053876,3430.691013,516.5803394
TS00000039,CVD_001,LOT250001A,2024.1.1 0:28,252.1808431,1.504396167,291.8845675,251.5457653,14.25745799,8.115836166,2.759974215,153.5767703,145.4921218,128.5502696,-0.498122402
TS00000040,CVD_001,LOT250001A,2024.1.1 0:29,631.0865085,1.553115225,289.4372401,184.9481677,-12.26902708,9.712137432,2.403342855,187.4457237,108.8225367,3125.623778,103.1567884
TS00000041,CVD_001,LOT250001A,2024.1.1 0:30,764.0059076,1.601858341,304.5660065,208.7725286,3.269108642,8.966255585,2.556336857,176.418207,171.4035952,-510.4956416,360.0865634
TS00000042,CVD_001,LOT250001A,2024.1.1 0:30,619.63341,1.630088382,335.7772302,219.3832784,0.550266353,7.497646758,1.881671236,141.4217442,168.1730158,-339.1899862,21.96596506
TS00000043,CVD_001,LOT250001A,2024.1.1 0:31,545.1756131,1.651950069,457.0275249,232.3717682,2.110160276,6.830021038,2.006912115,146.4938105,133.5341925,1616.490891,-343.3187144
TS00000044,CVD_001,LOT250001A,2024.1.1 0:32,496.0130407,1.694590443,135.7346186,34.81350008,12.63852485,8.015439851,2.468326774,156.8801168,135.4292497,3800.03581,41.18940584
TS00000045,CVD_001,LOT250001A,2024.1.1 0:33,198.77573,1.729409735,192.5882494,174.7316922,22.59047713,9.501384055,2.11093822,107.8416792,162.3097864,249.3426042,-348.7014171
