PNO,EQUIPMENT_ID,LOT_NO,TIMESTAMP,RF_POWER_SOURCE,RF_POWER_BIAS,CHAMBER_PRESSURE,GAS_FLOW_CF4,GAS_FLOW_O2,GAS_FLOW_AR,GAS_FLOW_CL2,ELECTRODE_TEMP,CHAMBER_WALL_TEMP,HELIUM_PRESSURE,ENDPOINT_SIGNAL,PLASMA_DENSITY
TS00000001,ETCH_001,LOT250001A,2024.1.1 0:00,4230.284918,30.53154653,12.2147966,135.6160862,36.74814058,164.1441959,29.6550557,82.55566274,70.99293972,14.29461585,-17955.71968,-1.04E+21
TS00000002,ETCH_001,LOT250001A,2024.1.1 0:00,445.4808397,93.13066617,13.89321448,147.7788021,7.338754401,191.7373605,-0.63001115,69.89787499,71.08003376,16.02397506,-8668.569576,1.41E+21
TS00000003,ETCH_001,LOT250001A,2024.1.1 0:01,5185.869206,119.2047983,13.58175611,124.3192597,23.96475705,215.6794547,46.26255972,68.42729835,74.43919404,15.61033928,-3958.480664,-7.54E+20
TS00000004,ETCH_001,LOT250001A,2024.1.1 0:02,10461.80405,256.0813899,15.02496598,25.89562208,27.91159521,435.8297279,10.32655117,67.36601019,75.24729726,14.77018389,3437.487209,-6.55E+20
TS00000005,ETCH_001,LOT250001A,2024.1.1 0:03,-58.56951352,174.5735274,16.30524699,96.3092363,29.53024425,11.62483093,52.75485771,71.84240869,71.20580625,14.75882364,12209.18032,-1.29E+21
TS00000006,ETCH_001,LOT250001A,2024.1.1 0:03,-37.26469124,59.01324148,19.36283871,54.95203689,32.16322851,-14.03392206,23.91191065,71.87135465,71.74257801,14.41949277,8932.78079,-1.66E+21
TS00000007,ETCH_001,LOT250001A,2024.1.1 0:04,10862.18631,165.9178824,16.87623638,91.47514163,37.38131181,505.6437598,-18.05900798,74.66457562,74.60490897,14.62521422,-9781.444586,7.08E+20
TS00000008,ETCH_001,LOT250001A,2024.1.1 0:05,6008.711023,41.24157066,14.100471,136.9486492,31.76128238,79.58016715,5.056260203,65.24927299,73.83420876,13.19272048,-1688.921317,9.67E+20
TS00000009,ETCH_001,LOT250001A,2024.1.1 0:06,-1397.980731,196.1418031,21.27290515,107.9225693,29.1823015,-121.9435044,22.05795967,68.28044141,74.18876316,14.38373464,2803.96719,4.54E+20
TS00000010,ETCH_001,LOT250001A,2024.1.1 0:06,4686.325672,99.86121019,16.65783001,139.4392205,29.43405137,70.93391075,75.92739123,79.95419704,74.65624924,13.59554713,-574.5335763,-1.23E+21
TS00000011,ETCH_001,LOT250001A,2024.1.1 0:07,-1340.294854,119.3818287,18.8982839,104.8504967,27.9331125,107.9376659,61.30015666,70.87823575,73.08416278,12.69030028,-642.9522587,-4.03E+20
TS00000012,ETCH_001,LOT250001A,2024.1.1 0:08,-1347.921071,201.4191096,20.4200514,36.8145887,42.34641629,577.2663441,81.86044257,68.84178198,74.07047878,12.12314372,-15179.89558,3.19E+21
TS00000013,ETCH_001,LOT250001A,2024.1.1 0:09,2901.378975,41.589846,20.02316131,-14.57806987,28.30739644,417.6549845,81.16675512,64.9407936,74.08009507,12.94538941,-9487.130208,-2.84E+21
TS00000014,ETCH_001,LOT250001A,2024.1.1 0:09,-10030.07612,32.0930989,22.43985271,89.69654008,43.41722126,471.1075095,13.51883571,72.11844466,72.53605349,11.67619076,-2001.197187,3.77E+21
TS00000015,ETCH_001,LOT250001A,2024.1.1 0:10,-8903.049545,78.22833537,21.04042366,72.69531505,35.18920126,386.8646101,21.57169932,74.67922635,74.4138043,10.80885227,-28920.45335,1.99E+20
TS00000016,ETCH_001,LOT250001A,2024.1.1 0:11,-1933.513872,173.1605954,17.78516775,39.74183054,29.70859894,415.9501805,12.29685719,73.82797085,75.91020736,10.72683623,8397.864556,-3.60E+20
TS00000017,ETCH_001,LOT250001A,2024.1.1 0:12,-4646.021312,17.65889558,25.43653908,8.459324183,40.90038949,4.770808104,1.734680344,68.08752908,73.65972722,11.41494631,-11759.23395,1.91E+21
TS00000018,ETCH_001,LOT250001A,2024.1.1 0:12,3304.349581,-62.74946637,20.48336646,44.89373556,27.11279933,124.4371449,-36.18669907,71.10997155,74.49160802,8.943021734,8809.179433,-4.13E+21
TS00000019,ETCH_001,LOT250001A,2024.1.1 0:13,-4044.041805,78.90933817,19.59222294,64.47186081,40.32025465,-76.18986368,15.82722015,77.57993681,74.66892867,9.767860016,7900.963444,2.76E+21
TS00000020,ETCH_001,LOT250001A,2024.1.1 0:14,-7086.912787,138.3506812,22.28939737,97.0557404,35.50254161,115.78422,-24.95365718,74.48981433,74.02202093,10.77661852,-3555.643538,3.72E+21
TS00000021,ETCH_001,LOT250001A,2024.1.1 0:15,10161.44966,177.015705,20.37890995,76.36490338,26.74188554,336.4770975,10.15806477,65.12427126,75.54833563,9.421553922,11855.48326,2.18E+21
TS00000022,ETCH_001,LOT250001A,2024.1.1 0:15,-8.307068099,77.45655146,20.58684361,131.7965563,37.22288121,196.0803156,72.53859488,56.22074974,73.59045282,9.616615019,9250.686556,-4.20E+21
TS00000023,ETCH_001,LOT250001A,2024.1.1 0:16,1728.794139,81.29327325,25.6119934,24.98030804,36.54520023,487.2392705,-7.945271772,70.33642875,76.68049255,10.18876261,-1301.418107,1.53E+21
TS00000024,ETCH_001,LOT250001A,2024.1.1 0:17,-7248.75114,176.4139136,18.4475993,100.8706925,41.7195914,-129.0872864,11.89657288,72.74339598,75.68503186,9.897347205,-2458.394252,3.29E+21
TS00000025,ETCH_001,LOT250001A,2024.1.1 0:18,-1991.2297,-3.364841869,18.05816398,67.0496557,38.80522593,278.1991137,32.46514281,63.19872068,73.39783393,8.627603,12704.77081,3.09E+21
TS00000026,ETCH_001,LOT250001A,2024.1.1 0:18,1915.535538,87.54661787,18.82698019,92.78676496,33.00291015,-162.0757005,13.40873876,68.4915863,77.40018408,8.882645803,4028.717038,-2.82E+21
TS00000027,ETCH_001,LOT250001A,2024.1.1 0:19,-5681.028111,124.6697283,20.86590979,47.69711144,15.72119029,170.4045913,14.04021688,67.1042402,75.14829711,9.837943408,12135.16828,2.03E+21
TS00000028,ETCH_001,LOT250001A,2024.1.1 0:20,3454.450133,142.8733133,14.04408181,108.4955517,50.36438185,328.816694,-4.818720299,68.82799094,73.84738309,9.939773055,-22217.94205,3.59E+21
TS00000029,ETCH_001,LOT250001A,2024.1.1 0:21,-2427.45705,88.23125852,12.49487864,78.21346062,10.71253693,87.00529256,0.378741866,65.46363851,76.61688962,9.13142543,2644.639667,5.89E+19
TS00000030,ETCH_001,LOT250001A,2024.1.1 0:21,-596.5132336,123.9377714,15.51795128,40.296067,33.11472884,275.3471567,-19.73484508,74.51709026,75.72284121,9.322888873,-14121.62854,-2.91E+21
TS00000031,ETCH_001,LOT250001A,2024.1.1 0:22,-2477.796724,-24.2996412,12.46027757,68.33869896,26.8259393,-105.3839334,36.56457148,68.67877066,72.33614063,9.813864342,1392.114925,1.66E+21
TS00000032,ETCH_001,LOT250001A,2024.1.1 0:23,12226.75969,88.63378456,15.02863784,60.83839309,9.694457488,-284.3287222,-38.63143907,63.41533246,74.21127266,11.04330474,8790.664415,2.11E+21
TS00000033,ETCH_001,LOT250001A,2024.1.1 0:24,1014.914003,158.3908626,16.88291541,91.81865423,19.16119201,267.968441,45.40230184,72.26644474,75.41651442,11.04853754,19051.19015,-2.78E+20
