PNO,EQUIPMENT_ID,LOT_NO,TIMESTAMP,BEAM_CURRENT,BEAM_ENERGY,DOSE_RATE,TOTAL_DOSE,IMPLANT_ANGLE,WAFER_ROTATION,SOURCE_PRESSURE,ANALYZER_PRESSURE,END_STATION_PRESSURE,BEAM_UNIFORMITY,FARADAY_CUP_CURRENT
TS00000001,ION_001,LOT250001A,2024.1.1 0:00,3236.856612,-4729518.895,-5.57E+22,3.83E+27,18.74814058,426.3071342,2.50E-05,1.50E-06,3.80E-07,98.96081199,-8657.859838
TS00000002,ION_001,LOT250001A,2024.1.1 0:00,722.009442,-2110964.994,-3.15E+22,5.37E+27,-11.16190425,869.1237764,2.56E-05,1.50E-06,3.91E-07,99.057955,-4004.861588
TS00000003,ION_001,LOT250001A,2024.1.1 0:01,3890.49213,-994023.6999,-4.71E+22,2.49E+27,4.975381777,1256.169718,2.62E-05,1.49E-06,4.02E-07,99.03815724,-1640.404054
TS00000004,ION_001,LOT250001A,2024.1.1 0:02,7415.744336,4759196.953,-2.74E+22,-9.71E+27,8.457212912,4785.176196,2.68E-05,1.47E-06,4.13E-07,98.99671734,2066.969465
TS00000005,ION_001,LOT250001A,2024.1.1 0:03,409.7372359,1431343.385,-1.07E+22,-7.77E+26,9.645985456,-1992.898223,2.74E-05,1.44E-06,4.24E-07,99.00327422,6462.162368
TS00000006,ION_001,LOT250001A,2024.1.1 0:03,431.0092227,-3298765.481,4.19E+22,-5.78E+27,11.8951305,-2391.671334,2.79E-05,1.41E-06,4.34E-07,98.99342427,4833.236767
TS00000007,ION_001,LOT250001A,2024.1.1 0:04,7703.760683,1255002.16,-1.61E+22,-1.01E+27,16.78564372,5937.451878,2.84E-05,1.38E-06,4.43E-07,99.01549409,-4514.714571
TS00000008,ION_001,LOT250001A,2024.1.1 0:05,4473.841565,-3828380.389,-7.93E+22,4.90E+27,10.90371853,-862.832196,2.89E-05,1.34E-06,4.51E-07,98.9479833,-459.4586623
TS00000009,ION_001,LOT250001A,2024.1.1 0:06,-459.0319586,2746570.551,5.70E+22,1.53E+27,8.13695392,-4068.095045,2.92E-05,1.29E-06,4.59E-07,99.02741682,1795.743529
TS00000010,ION_001,LOT250001A,2024.1.1 0:06,3601.205585,-1138010.161,-4.19E+22,5.74E+27,8.282374503,-960.6387181,2.95E-05,1.25E-06,4.65E-07,98.99782513,114.9297883
TS00000011,ION_001,LOT250001A,2024.1.1 0:07,-413.459468,-194335.1893,-2.94E+21,1.71E+27,6.762694503,-344.949605,2.98E-05,1.20E-06,4.70E-07,98.96237544,88.73517392
TS00000012,ION_001,LOT250001A,2024.1.1 0:08,-416.4615641,3354196.023,2.23E+22,-6.49E+27,21.24967314,7190.049807,2.99E-05,1.15E-06,4.75E-07,98.94605148,-7172.259173
TS00000013,ION_001,LOT250001A,2024.1.1 0:09,2417.454432,-3178260.039,9.98E+21,-1.26E+28,7.380186265,4664.011369,3.00E-05,1.11E-06,4.78E-07,99.00694479,-4319.06541
TS00000014,ION_001,LOT250001A,2024.1.1 0:09,-6203.515633,-3453206.69,5.47E+22,7.44E+26,22.75739736,5548.880546,3.00E-05,1.06E-06,4.79E-07,98.951353,-570.0939
TS00000015,ION_001,LOT250001A,2024.1.1 0:10,-5453.21388,-1419474.181,2.40E+22,-1.07E+27,14.89512325,4232.383072,2.99E-05,1.02E-06,4.80E-07,98.91746887,-14024.67092
TS00000016,ION_001,LOT250001A,2024.1.1 0:11,-808.9388137,2635402.16,-4.31E+22,-4.88E+27,9.877621875,4730.768412,2.98E-05,9.88E-07,4.79E-07,98.92627477,4638.432903
