PNO,EQUIPMENT_ID,LOT_NO,WAFER_ID,TIMESTAMP,EXPOSURE_DOSE,FOCUS_POSITION,STAGE_TEMP,BAROMETRIC_PRESSURE,HUMIDITY,ALIGNMENT_ERROR_X,ALIGNMENT_ERROR_Y,LENS_ABERRATION,ILLUMINATION_UNIFORMITY,RETICLE_TEMP
TS00000001,PHOTO_001,LOT250001A,W001,2024.1.1 0:00,32.19868566,-9.861711337,23.04777184,1019.913505,45.70488843,2.095697304,2.009655056,3.625556627,98.46643132,23.04960812
TS00000002,PHOTO_001,LOT250001A,W001,2024.1.1 0:00,32.19536075,-8.327512494,23.05187921,1020.677217,43.99819247,2.093706498,2.023489609,3.495060773,98.51136418,23.05055735
TS00000003,PHOTO_001,LOT250001A,W001,2024.1.1 0:01,32.75645519,-7.767238751,23.05439493,1019.22148,45.05398943,2.080861792,2.11344579,3.468663228,98.66496095,23.05029278
TS00000004,PHOTO_001,LOT250001A,W001,2024.1.1 0:02,33.34546105,-4.495448941,23.05831484,1013.087014,45.34976662,2.081704221,2.118486299,3.438770247,98.73271624,23.04976746
TS00000005,PHOTO_001,LOT250001A,W001,2024.1.1 0:03,32.869846,-6.73811933,23.06210502,1017.510719,45.50692497,1.996274069,2.198822227,3.456971692,98.63761815,23.0496779
TS00000006,PHOTO_001,LOT250001A,W001,2024.1.1 0:03,33.08191572,-9.88190201,23.06731776,1014.953647,45.72633162,1.950945166,2.20390869,3.423837627,98.69354553,23.04938022
TS00000007,PHOTO_001,LOT250001A,W001,2024.1.1 0:04,34.00077934,-7.507589809,23.06809581,1017.267808,46.102513,1.96483238,2.191073685,3.412015707,98.82503954,23.04935787
TS00000008,PHOTO_001,LOT250001A,W001,2024.1.1 0:05,33.84800038,-10.95898448,23.06864307,1020.14368,45.83031412,1.860727624,2.23782947,3.272408887,98.83312953,23.04839609
TS00000009,PHOTO_001,LOT250001A,W001,2024.1.1 0:06,33.5008661,-7.448912436,23.07714912,1018.364036,45.74267238,1.780946095,2.272404514,3.252288654,98.87609496,23.04886041
TS00000010,PHOTO_001,LOT250001A,W001,2024.1.1 0:06,34.02667812,-10.23738358,23.07622493,1020.367253,45.82709998,1.747846132,2.337352173,3.314416932,98.9198856,23.04819147
TS00000011,PHOTO_001,LOT250001A,W001,2024.1.1 0:07,33.71674596,-10.14045428,23.08078426,1018.235918,45.80866102,1.69739332,2.327034309,3.165738029,98.89247189,23.0474213
TS00000012,PHOTO_001,LOT250001A,W001,2024.1.1 0:08,33.7782826,-8.480608424,23.08476687,1014.009158,46.74737397,1.70212278,2.345022345,3.085064439,98.94686951,23.04680015
TS00000013,PHOTO_001,LOT250001A,W001,2024.1.1 0:09,34.09283837,-12.85779634,23.08721168,1010.815545,45.98117712,1.636517589,2.334926011,2.984314371,98.96502313,23.04690939
TS00000014,PHOTO_001,LOT250001A,W001,2024.1.1 0:09,33.23074136,-13.45764878,23.09190315,1017.341974,46.96599992,1.603271646,2.251259433,2.993901456,98.9275158,23.04581249
TS00000015,PHOTO_001,LOT250001A,W001,2024.1.1 0:10,33.27460737,-12.63875475,23.09353594,1016.277396,46.55242593,1.561707205,2.237050493,2.957860254,99.00004613,23.04489191
TS00000016,PHOTO_001,LOT250001A,W001,2024.1.1 0:11,33.67719802,-10.56375207,23.09367643,1014.202479,46.3052811,1.543070355,2.199793637,2.889220885,99.05572971,23.04435804
TS00000017,PHOTO_001,LOT250001A,W001,2024.1.1 0:12,33.40452166,-14.7060701,23.10253249,1012.216698,47.05970018,1.481723126,2.156190258,2.774170311,98.9823067,23.04419994
TS00000018,PHOTO_001,LOT250001A,W001,2024.1.1 0:12,33.81435478,-16.92125297,23.10129281,1014.446071,46.31614101,1.494633917,2.080952309,2.750149217,99.00738174,23.04223182
TS00000019,PHOTO_001,LOT250001A,W001,2024.1.1 0:13,33.17781686,-13.52990784,23.103288,1015.603069,47.19256453,1.479727592,2.092262667,2.764870977,99.0063928,23.04203869
TS00000020,PHOTO_001,LOT250001A,W001,2024.1.1 0:14,32.80417273,-12.13545382,23.10813619,1017.552558,46.98718864,1.522237243,2.008363372,2.689059801,98.97372515,23.04188932
TS00000021,PHOTO_001,LOT250001A,W001,2024.1.1 0:15,33.76183001,-11.19960738,23.10927743,1016.150712,46.54431822,1.577818051,1.998974844,2.556283366,99.00937332,23.04036674
TS00000022,PHOTO_001,LOT250001A,W001,2024.1.1 0:15,32.87319683,-13.65780706,23.11208916,1019.483805,47.25434721,1.598673367,2.016542785,2.434546407,98.92487403,23.03964416
